rank	category	path	format	bytes	width_px	height_px	animated_frame_count	duration_ms	sha256	review_status
1	docs-install	apps/docs/images/Macro-Mobile-QR-Code.png	PNG	3304	210	210	1	n/a	473e6054a83b86a59aa18ba3c9ff219bf36e8d7421672609edb975253af35059	human-reviewed:replace
2	legacy-brand	apps/docs/images/Mark_june.png	PNG	1536	160	106	1	n/a	b1de247e1216e3dc9e851b0d1a437fdf9c9df85bfe6d732df1769f0b30991c9e	human-reviewed:replace
3	legacy-brand	apps/docs/images/Markdark.png	PNG	1552	160	106	1	n/a	04d129af68b4d6eb883761897ca82885054b69cd92af12bad14ea9055d82f7c5	human-reviewed:replace
4	docs-screenshot	apps/docs/images/Screenshot-2026-06-09-at-4.05.22-PM.png	PNG	57448	1204	806	1	n/a	06437df528d1360a85654f63e332e182ed577d22db32cded2f6b572ecb2d5901	human-reviewed:replace
5	docs-screenshot	apps/docs/images/Screenshot-2026-06-09-at-4.24.24-PM.png	PNG	46615	840	392	1	n/a	48c8c2723851dd3a24ad3f45cff8892b8c1f6d3fd4b680091f6eb917ef952142	human-reviewed:replace
6	docs-screenshot	apps/docs/images/Screenshot-2026-06-09-at-4.25.31-PM.png	PNG	175687	1632	958	1	n/a	785411adc20123409c5662e200cf9d96b11875d24113ae511c778783ab00bd78	human-reviewed:replace
7	docs-screenshot	apps/docs/images/Screenshot-2026-06-09-at-4.26.45-PM.png	PNG	98183	824	886	1	n/a	1dbae88659ae58d472deff14679a049506c3625eaeb1827635d5b61f7bbea2d0	human-reviewed:replace
8	docs-screenshot	apps/docs/images/Screenshot-2026-06-09-at-4.49.29-PM.png	PNG	2207744	3456	2172	1	n/a	79ea71345e059ddeb2a6f0639c0d676604dbde5f52e093b754deb7b1a578caa4	human-reviewed:replace
9	docs-screenshot	apps/docs/images/Screenshot-2026-06-09-at-4.49.50-PM.png	PNG	157374	1430	650	1	n/a	ad1aece593e8e74aabe0019cad70eb3a366cc90fbb8a1977bf277e414cf3d328	human-reviewed:replace
10	docs-screenshot	apps/docs/images/Screenshot-2026-06-09-at-4.50.07-PM.png	PNG	180549	1780	1356	1	n/a	cdb8bb50afe68a3776f81d4a118f1e78dd5a849c2f5e2fec1da0cf7dd39cfa43	human-reviewed:replace
11	docs-screenshot	apps/docs/images/Screenshot-2026-06-09-at-4.50.18-PM.png	PNG	62442	934	386	1	n/a	db4e5d37d3fa3abf0c9e8ca047a0ad01a8ea146785d64ed4d02b385f01553499	human-reviewed:replace
12	docs-screenshot	apps/docs/images/Screenshot-2026-06-11-at-5.13.34-PM.png	PNG	120441	1300	802	1	n/a	0e979ab71d725bcc6bcf54c50d2480e0e69d2a9dffa2fc32c882370060ebe2ad	human-reviewed:replace
13	docs-screenshot	apps/docs/images/agent_email_draft.png	PNG	630822	3519	2160	1	n/a	50182c4b1b1ae018a03b4ee4e73824401cf22ffcc7dafc3594eeb2b44bc55056	human-reviewed:replace
14	docs-screenshot	apps/docs/images/agents_screenshot.png	PNG	1170204	3948	2160	1	n/a	7c4bc983221170cceaf42381d23daae6fb9283750b61c535c69822315cc0e14a	human-reviewed:replace
15	docs-screenshot	apps/docs/images/calls_summary.png	PNG	1202649	3565	2160	1	n/a	6b6912d93e5ecd341602436a3ede4f06e2779c34a5dfc65f170b5637457db263	human-reviewed:replace
16	docs-screenshot	apps/docs/images/crm_board_view.png	PNG	272594	2412	1520	1	n/a	cbf59096c704930a8988a3ee1f2c327f4531d0dd9c4fcfa468bbb751d1bb9db2	human-reviewed:replace
17	docs-screenshot	apps/docs/images/crm_chat.png	PNG	69469	1558	554	1	n/a	0fb0ed29db681e4d953ffa0ae3d0192d4a0012f00ca73e6fe18ecdaccb13bf7e	human-reviewed:replace
18	docs-screenshot	apps/docs/images/crm_list_view.png	PNG	329685	2412	1520	1	n/a	854f24a5bd4bca3341ccfc5cd438d60378441c7eb095c88e58c10dfa34fa1a7a	human-reviewed:replace
19	docs-screenshot	apps/docs/images/doc_screenshot.png	PNG	938906	3948	2160	1	n/a	685f44390a75e9d5d23b4bdb9fae37ee3a82314cb3c2477dc1844f54da0675ab	human-reviewed:replace
20	docs-screenshot	apps/docs/images/email_signal_ss-1.png	PNG	1180410	3948	2160	1	n/a	54d7ac30d565c99982b5c5c4b978d2a6a4bbbf5520cc1b7f98773b0d02a64f5a	human-reviewed:replace
21	docs-screenshot	apps/docs/images/email_signal_ss.png	PNG	1180410	3948	2160	1	n/a	54d7ac30d565c99982b5c5c4b978d2a6a4bbbf5520cc1b7f98773b0d02a64f5a	human-reviewed:replace
22	docs-screenshot	apps/docs/images/filter_tags.png	PNG	91829	840	762	1	n/a	006231805cedefe78ce63d927cbeb0188fe7dd866b4990f7db625b58d881e2c5	human-reviewed:replace
23	docs-screenshot	apps/docs/images/github-task-properties.png	PNG	22707	848	196	1	n/a	32affd0c74d21455a888f701de5296df578058b430fc350ad8dae3759ba08c18	human-reviewed:replace
24	docs-screenshot	apps/docs/images/inbox_screenshot.png	PNG	935520	3948	2160	1	n/a	876baeac3278a3238f711a8fb170da957f21f952796bb8aa32374be49da6df5e	human-reviewed:replace
25	docs-screenshot	apps/docs/images/macro_in_channel.png	PNG	131410	1474	498	1	n/a	59709ecd45024543ed4af89296c4235ecf3fad104865c7aa4bb0501c1bcbdbb4	human-reviewed:replace
26	docs-screenshot	apps/docs/images/properties_tab.png	PNG	426183	1846	2160	1	n/a	3f446117d45ab28dd6c526188dd81768732eacfe43bcc3e1be6fa2d3eaaa87de	human-reviewed:replace
