rank	category	path	format	bytes	width_px	height_px	animated_frame_count	duration_ms	sha256	review_status
28	native-android	apps/web/tauri/src-tauri/gen/android/app/src/main/res/mipmap-xxhdpi/ic_launcher_foreground.png	PNG	74564	324	324	1	n/a	f95dd71cd11268e61b67465b2dc560b2928bcf7a8f5ea9c7a261885f9bec8358	human-reviewed:keep
29	native-android	apps/web/tauri/src-tauri/gen/android/app/src/main/res/mipmap-xxhdpi/ic_launcher_round.png	PNG	15683	144	144	1	n/a	6a6d5cb76a4d27e8289ba32694c610dd4beb0aaad6a3c67d12dac47e633b9a26	human-reviewed:keep
30	native-android	apps/web/tauri/src-tauri/gen/android/app/src/main/res/mipmap-xxxhdpi/ic_launcher.png	PNG	21349	192	192	1	n/a	355fe7d480adf1a45b4f4286bfe53889a42c3dfa0825f24424a1725386f0b2d4	human-reviewed:keep
31	native-android	apps/web/tauri/src-tauri/gen/android/app/src/main/res/mipmap-xxxhdpi/ic_launcher_foreground.png	PNG	138858	432	432	1	n/a	cbcb9619b819bb8d5035d561922bdc88397bb2468783a07fcea7fda019405e0f	human-reviewed:keep
32	native-android	apps/web/tauri/src-tauri/gen/android/app/src/main/res/mipmap-xxxhdpi/ic_launcher_round.png	PNG	25186	192	192	1	n/a	39e4ff6153b86bf544c131a7e0c064de106e43d83b3fcfa7df262adb57a5db32	human-reviewed:keep
33	native-ios	apps/web/tauri/src-tauri/gen/apple/Assets.xcassets/AppIcon.appiconset/AppIcon-20x20@1x.png	PNG	780	20	20	1	n/a	b05ef55a0087b31458d2f8e0db4f799d8920f839c5ac476af6a775f4e4a54db1	human-reviewed:keep
34	native-ios	apps/web/tauri/src-tauri/gen/apple/Assets.xcassets/AppIcon.appiconset/AppIcon-20x20@2x-1.png	PNG	2140	40	40	1	n/a	c84446ac741791b0a327f7ddc8008e23b11946604543747923ab197105637ea8	human-reviewed:keep
35	native-ios	apps/web/tauri/src-tauri/gen/apple/Assets.xcassets/AppIcon.appiconset/AppIcon-20x20@2x.png	PNG	2140	40	40	1	n/a	c84446ac741791b0a327f7ddc8008e23b11946604543747923ab197105637ea8	human-reviewed:keep
36	native-ios	apps/web/tauri/src-tauri/gen/apple/Assets.xcassets/AppIcon.appiconset/AppIcon-20x20@3x.png	PNG	4078	60	60	1	n/a	5a0f0fd5876463677d681e33c9ff316bbb94a0f6e55b8d4d9820982fee3da1d5	human-reviewed:keep
37	native-ios	apps/web/tauri/src-tauri/gen/apple/Assets.xcassets/AppIcon.appiconset/AppIcon-29x29@1x.png	PNG	1322	29	29	1	n/a	841e0d37e85a0d2c4c1e80334b04831048fb74d6673bd3e2c20a574ae3a20420	human-reviewed:keep
38	native-ios	apps/web/tauri/src-tauri/gen/apple/Assets.xcassets/AppIcon.appiconset/AppIcon-29x29@2x-1.png	PNG	3807	58	58	1	n/a	4c4bac09797be0d4c810cde134b4c330774981799aa7b6658a82a178f0d6a12f	human-reviewed:keep
39	native-ios	apps/web/tauri/src-tauri/gen/apple/Assets.xcassets/AppIcon.appiconset/AppIcon-29x29@2x.png	PNG	3807	58	58	1	n/a	4c4bac09797be0d4c810cde134b4c330774981799aa7b6658a82a178f0d6a12f	human-reviewed:keep
40	native-ios	apps/web/tauri/src-tauri/gen/apple/Assets.xcassets/AppIcon.appiconset/AppIcon-29x29@3x.png	PNG	7203	87	87	1	n/a	c389a5cd7b53ba64876c5ee280e45f7dcfc1b5dc8b22d89b5a6a00b54e7ec46a	human-reviewed:keep
41	native-ios	apps/web/tauri/src-tauri/gen/apple/Assets.xcassets/AppIcon.appiconset/AppIcon-40x40@1x.png	PNG	2140	40	40	1	n/a	c84446ac741791b0a327f7ddc8008e23b11946604543747923ab197105637ea8	human-reviewed:keep
42	native-ios	apps/web/tauri/src-tauri/gen/apple/Assets.xcassets/AppIcon.appiconset/AppIcon-40x40@2x-1.png	PNG	6373	80	80	1	n/a	f2b1630e29353af14baad65b2b7ad53d15bb5e61347b8461084590cb760291c0	human-reviewed:keep
43	native-ios	apps/web/tauri/src-tauri/gen/apple/Assets.xcassets/AppIcon.appiconset/AppIcon-40x40@2x.png	PNG	6373	80	80	1	n/a	f2b1630e29353af14baad65b2b7ad53d15bb5e61347b8461084590cb760291c0	human-reviewed:keep
44	native-ios	apps/web/tauri/src-tauri/gen/apple/Assets.xcassets/AppIcon.appiconset/AppIcon-40x40@3x.png	PNG	12026	120	120	1	n/a	1eaa660cf44bc27c8dc7c89afe40187c3c49d07084b424a2e311b39411594bcf	human-reviewed:keep
45	native-ios	apps/web/tauri/src-tauri/gen/apple/Assets.xcassets/AppIcon.appiconset/AppIcon-512@2x.png	PNG	853021	1024	1024	1	n/a	7001c0441dd3a9064e633a46a615636b517a3769245d29364f6f269fc0d98975	human-reviewed:keep
46	native-ios	apps/web/tauri/src-tauri/gen/apple/Assets.xcassets/AppIcon.appiconset/AppIcon-60x60@2x.png	PNG	12026	120	120	1	n/a	1eaa660cf44bc27c8dc7c89afe40187c3c49d07084b424a2e311b39411594bcf	human-reviewed:keep
47	native-ios	apps/web/tauri/src-tauri/gen/apple/Assets.xcassets/AppIcon.appiconset/AppIcon-60x60@3x.png	PNG	24016	180	180	1	n/a	55bbe0ac4c1f417757c9b63fb1e1412e26744d7d3ad596ebea42261c5cb9d776	human-reviewed:keep
48	native-ios	apps/web/tauri/src-tauri/gen/apple/Assets.xcassets/AppIcon.appiconset/AppIcon-76x76@1x.png	PNG	5837	76	76	1	n/a	a68cfa0f35d6a2ebe245db919dd07df6438773229d78dfed86596e59cfa6cd1d	human-reviewed:keep
49	native-ios	apps/web/tauri/src-tauri/gen/apple/Assets.xcassets/AppIcon.appiconset/AppIcon-76x76@2x.png	PNG	18069	152	152	1	n/a	a2a55470f3280bb1f71e79a2cb50732cd41ae5387064fadc9d161e82d58f24cb	human-reviewed:keep
50	native-ios	apps/web/tauri/src-tauri/gen/apple/Assets.xcassets/AppIcon.appiconset/AppIcon-83.5x83.5@2x.png	PNG	20966	167	167	1	n/a	ed916d956e4df3d330f664ee1497eb1ab0f89bccc77938e11c5f13543c4e3e77	human-reviewed:keep
51	native-desktop	apps/web/tauri/src-tauri/icons/128x128.png	PNG	13337	128	128	1	n/a	112fbdb0335b8ea8f841e517d3bc7abcd8d3ce74d89c5ea972c041ebe7a706c4	human-reviewed:keep
52	native-desktop	apps/web/tauri/src-tauri/icons/128x128@2x.png	PNG	46339	256	256	1	n/a	fe47e46698a8aa82397e99177bc1e1f01a5e6960bcd44886032eae3c8869002a	human-reviewed:keep
53	native-desktop	apps/web/tauri/src-tauri/icons/32x32.png	PNG	1523	32	32	1	n/a	14bebeecf77a93f5d28af360d5005651f5717d060da4b70f549a0c88dedb32ed	human-reviewed:keep
54	native-desktop	apps/web/tauri/src-tauri/icons/64x64.png	PNG	4424	64	64	1	n/a	d33648f86a27d4a0b219e8fc36f0013f3780d0e89d35e0086c7472710080b6f0	human-reviewed:keep
55	native-desktop	apps/web/tauri/src-tauri/icons/Square107x107Logo.png	PNG	10113	107	107	1	n/a	970d1154ceb61e73d210d82b2510842d847741b8d18ec5f199233c3fba365100	human-reviewed:keep
56	native-desktop	apps/web/tauri/src-tauri/icons/Square142x142Logo.png	PNG	16067	142	142	1	n/a	0510cb133db54a8caaaea99c5aa12d02101e6dec2558092e7cec0d19857eaa21	human-reviewed:keep
57	native-desktop	apps/web/tauri/src-tauri/icons/Square150x150Logo.png	PNG	17517	150	150	1	n/a	4e6b912cfaa579218b7f440d2f47cdddb21fb6f21d9ee10f6d96c0658feaade2	human-reviewed:keep
58	native-desktop	apps/web/tauri/src-tauri/icons/Square284x284Logo.png	PNG	56760	284	284	1	n/a	fe219365e963fefbcc972cd202b770430be6ecc75c009f8303935cf378c12d72	human-reviewed:keep
59	native-desktop	apps/web/tauri/src-tauri/icons/Square30x30Logo.png	PNG	1401	30	30	1	n/a	75f21aff7a39041e9f0c2e37243b40cfe738ccddff1d2ba475fd3528c06e8077	human-reviewed:keep
60	native-desktop	apps/web/tauri/src-tauri/icons/Square310x310Logo.png	PNG	68108	310	310	1	n/a	942982ca3acff930e49c3ac03456cdeb2aa9e343f7dfd04028c85a77ebbe1ba7	human-reviewed:keep
61	native-desktop	apps/web/tauri/src-tauri/icons/Square44x44Logo.png	PNG	2512	44	44	1	n/a	1f3603cf98be84e8e84cc3bee8b96db36ba1e60e5cb06486af5c5869e29dec90	human-reviewed:keep
62	native-desktop	apps/web/tauri/src-tauri/icons/Square71x71Logo.png	PNG	5351	71	71	1	n/a	12c7f9fe0c4b9baa92888ac5b7336f490f78c204f130bedf4152ace65547d20d	human-reviewed:keep
63	native-desktop	apps/web/tauri/src-tauri/icons/Square89x89Logo.png	PNG	7528	89	89	1	n/a	0282c9dd4ca731d3c0423e66c6fbb9341124297ec294d41e0581f81e33ff8989	human-reviewed:keep
64	native-desktop	apps/web/tauri/src-tauri/icons/StoreLogo.png	PNG	3013	50	50	1	n/a	e80fb853507e4c4457cde529ae2b41b85cc884fd524c26f93cfe10e9f2a42789	human-reviewed:keep
65	native-desktop	apps/web/tauri/src-tauri/icons/icon.ico	ICO	58675	256	256	n/a	n/a	277d8e2399b08fe7cd0abb1099ce8bbda78c70e53e57f4f176d65cbe4c1043f0	human-reviewed:keep
66	legacy-macos-intermediate	apps/web/tauri/src-tauri/icons/icon.iconset/icon_128x128.png	PNG	2626	128	128	1	n/a	8ea34fa1388837c91fc2d8e5a6c45c2059e9d55a9f4417cb3a63c11094ca7798	human-reviewed:replace_required
67	legacy-macos-intermediate	apps/web/tauri/src-tauri/icons/icon.iconset/icon_128x128@2x.png	PNG	5876	256	256	1	n/a	77c7c02785be7f9d9910d7cf55b3c793c4984f7b8d956763d0c45340cf61518a	human-reviewed:replace_required
68	legacy-macos-intermediate	apps/web/tauri/src-tauri/icons/icon.iconset/icon_16x16.png	PNG	461	16	16	1	n/a	5403e19164f6fc9fff6a42c5f67541ff6d166482c368e45d7a33ee17f4299870	human-reviewed:replace_required
69	legacy-macos-intermediate	apps/web/tauri/src-tauri/icons/icon.iconset/icon_16x16@2x.png	PNG	765	32	32	1	n/a	f81441d1c87c8f2d63b30e8d592649f1a688bb3099397b3b6b9595b167824fe2	human-reviewed:replace_required
70	legacy-macos-intermediate	apps/web/tauri/src-tauri/icons/icon.iconset/icon_256x256.png	PNG	5876	256	256	1	n/a	77c7c02785be7f9d9910d7cf55b3c793c4984f7b8d956763d0c45340cf61518a	human-reviewed:replace_required
71	legacy-macos-intermediate	apps/web/tauri/src-tauri/icons/icon.iconset/icon_256x256@2x.png	PNG	14838	512	512	1	n/a	6e5a70e1696f903c331ceecc5e8d250f8fca6d1b58c24e53e8bd21b9ef7cf4fb	human-reviewed:replace_required
72	legacy-macos-intermediate	apps/web/tauri/src-tauri/icons/icon.iconset/icon_32x32.png	PNG	784	32	32	1	n/a	14370457fca604ae6c7d1ce95972138eb4fbeb856b9d9426240a726b700a0190	human-reviewed:replace_required
73	legacy-macos-intermediate	apps/web/tauri/src-tauri/icons/icon.iconset/icon_32x32@2x.png	PNG	1359	64	64	1	n/a	77d93018640cbab5ac822790801249875890cde2d01aa041c8d033edbf2539ae	human-reviewed:replace_required
74	legacy-macos-intermediate	apps/web/tauri/src-tauri/icons/icon.iconset/icon_512x512.png	PNG	14838	512	512	1	n/a	6e5a70e1696f903c331ceecc5e8d250f8fca6d1b58c24e53e8bd21b9ef7cf4fb	human-reviewed:replace_required
75	legacy-macos-intermediate	apps/web/tauri/src-tauri/icons/icon.iconset/icon_512x512@2x.png	PNG	39697	1024	1024	1	n/a	3d3a75f65c8b73a08056f61292b187e1aeb317ea650f3139238be83ffeb2a022	human-reviewed:replace_required
76	native-desktop	apps/web/tauri/src-tauri/icons/icon.png	PNG	202372	512	512	1	n/a	0c09f51212d557f482eb24cf9e9e663cd64795ad37b8482b30014d23bbecd3f6	human-reviewed:keep
